"caso_ano","caso_anomes","caso_mes","qtd_casos","bairro","regiao","zona","area","area_grupo","bairro_ha","bairro_pop2010","ciclo_mes","ciclo","ciclo_parte","ciclo_num"
2002,200204,4,346,"Copacabana","V RA - Copacabana","Zona Sul","AP 2.1","AG 2",410.09,146392,9,"ciclo2002","predicao",2002
2002,200205,5,72,"Copacabana","V RA - Copacabana","Zona Sul","AP 2.1","AG 2",410.09,146392,10,"ciclo2002","predicao",2002
2002,200206,6,7,"Copacabana","V RA - Copacabana","Zona Sul","AP 2.1","AG 2",410.09,146392,11,"ciclo2002","predicao",2002
2002,200207,7,2,"Copacabana","V RA - Copacabana","Zona Sul","AP 2.1","AG 2",410.09,146392,12,"ciclo2002","predicao",2002
2002,200201,1,44,"Ipanema","VI RA - Lagoa","Zona Sul","AP 2.1","AG 2",308.49,42743,6,"ciclo2002","predicao",2002
2002,200202,2,190,"Ipanema","VI RA - Lagoa","Zona Sul","AP 2.1","AG 2",308.49,42743,7,"ciclo2002","predicao",2002
2002,200203,3,378,"Ipanema","VI RA - Lagoa","Zona Sul","AP 2.1","AG 2",308.49,42743,8,"ciclo2002","predicao",2002
2002,200204,4,72,"Ipanema","VI RA - Lagoa","Zona Sul","AP 2.1","AG 2",308.49,42743,9,"ciclo2002","predicao",2002
2002,200205,5,18,"Ipanema","VI RA - Lagoa","Zona Sul","AP 2.1","AG 2",308.49,42743,10,"ciclo2002","predicao",2002
2002,200206,6,1,"Ipanema","VI RA - Lagoa","Zona Sul","AP 2.1","AG 2",308.49,42743,11,"ciclo2002","predicao",2002
2002,200207,7,0,"Ipanema","VI RA - Lagoa","Zona Sul","AP 2.1","AG 2",308.49,42743,12,"ciclo2002","predicao",2002
2002,200201,1,67,"Leblon","VI RA - Lagoa","Zona Sul","AP 2.1","AG 2",215.31,46044,6,"ciclo2002","predicao",2002
2002,200202,2,209,"Leblon","VI RA - Lagoa","Zona Sul","AP 2.1","AG 2",215.31,46044,7,"ciclo2002","predicao",2002
2002,200203,3,251,"Leblon","VI RA - Lagoa","Zona Sul","AP 2.1","AG 2",215.31,46044,8,"ciclo2002","predicao",2002
2002,200204,4,95,"Leblon","VI RA - Lagoa","Zona Sul","AP 2.1","AG 2",215.31,46044,9,"ciclo2002","predicao",2002
2002,200205,5,20,"Leblon","VI RA - Lagoa","Zona Sul","AP 2.1","AG 2",215.31,46044,10,"ciclo2002","predicao",2002
2002,200206,6,5,"Leblon","VI RA - Lagoa","Zona Sul","AP 2.1","AG 2",215.31,46044,11,"ciclo2002","predicao",2002
2002,200207,7,0,"Leblon","VI RA - Lagoa","Zona Sul","AP 2.1","AG 2",215.31,46044,12,"ciclo2002","predicao",2002
2002,200201,1,24,"Lagoa","VI RA - Lagoa","Zona Sul","AP 2.1","AG 2",510.99,21198,6,"ciclo2002","predicao",2002
2002,200202,2,49,"Lagoa","VI RA - Lagoa","Zona Sul","AP 2.1","AG 2",510.99,21198,7,"ciclo2002","predicao",2002
